,bias,factuality,owner,source,owner_type,transgend,state,gender,school,sex,lgbtq,new,legal,board,peopl,chang,marriag,year,vote,greec,say,tran,member,woman,polici,wednesday,said,alberta,minist,public,right,orthodox,youth,child,govern,social,thi,prime,propos,univers,identifi,train,utah,depart,educ,student,record,girl,post,surgeri,rule,game,group,plan,countri,report,becom,accord,question,day,lawmak,church,mother,court,parliament,offici,hous,alabama,christian,coupl,senat,gov,conserv,sunak,ghey,law,time,survey,health,face,commun,activist,leader
235,Center,High Factuality,Nexstar Media Group,https://thehill.com/policy/healthcare/4454536-ohio-health-department-backpedals-on-proposed-adult-gender-affirming-care-restrictions/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0816620169968762,0.10842653419046373,0.11733038896187228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367224363803968,0.14675851315179592,0.0,0.0,0.1440184780361136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1599263914960012,0.0,0.0,0.0,0.0,0.1599263914960012,0.0,0.0,0.0,0.0,0.0,0.0,0.1619014363866331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17344660222603725,0.0,0.0,0.0,0.0
236,Center,High Factuality,News-Press & Gazette Company,https://kvia.com/news/ap-national/2024/02/07/ohio-backs-off-proposed-restrictions-on-gender-affirming-care-for-adults/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.06404492823307201,0.08503548964575064,0.09201850036240206,0.0,0.0,0.0,0.0,0.0,0.0,0.10551916804567059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11622685547649093,0.10722706770968225,0.0,0.0,0.0,0.11294912162666743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2508503865714553,0.0,0.0,0.0,0.0,0.12542519328572765,0.0,0.0,0.0,0.0,0.0,0.0,0.25394831662337786,0.0,0.0,0.13602866547199868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,Center,High Factuality,Government of Singapore,https://www.channelnewsasia.com/world/pope-francis-denounces-hypocrisy-those-criticise-lgbt-blessings-vatican-4107181?utm_source=ground.news&utm_medium=referral,Government,0.0,0.0,0.0,0.0,0.16204075626278008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17813859896866632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21053316807907257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Lean Right,Mixed Factuality,Singapore Press Holdings,https://www.straitstimes.com/world/europe/pope-denounces-hypocrisy-of-those-who-criticise-lgbt-blessings?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.0,0.16204075626278008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17813859896866632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21053316807907257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Lean Right,High Factuality,Kerry Stokes,https://thewest.com.au/news/religion-and-belief/pope-sees-hypocrisy-in-critics-of-lgbt-blessings-c-13509557?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.21629597331957756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23778376834546947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28102483323312494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,Lean Right,Mixed Factuality,Dato’ Siew Ka Wei,https://www.malaymail.com/news/world/2024/02/07/pope-sees-hypocrisy-in-those-who-criticise-lgbt-blessings/116909?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.08802453197221191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09676927682917849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11436680506930039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11436680506930039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,Lean Left,High Factuality,Roberts Family,https://www.nbcnews.com/nbc-out/out-news/pope-denounces-hypocrisy-criticize-lgbtq-blessings-rcna137675?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0,0.0,0.1633057282506222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17952923884745936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2121766963263723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,Center,High Factuality,The Woodbridge Company,https://www.theglobeandmail.com/world/article-pope-francis-sees-hypocrisy-in-those-who-criticize-lgbt-blessings/?utm_source=ground.news&utm_medium=referral,Private Equity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1380554185516043,0.0,0.0,0.0,0.0,0.0,0.1477763571302666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15359346660253825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Lean Left,High Factuality,Agnelli Family,https://www.repubblica.it/esteri/2024/02/07/news/londra_sunak_gaffe_transgender-422080707/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.11820987070701888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13888798535221195,0.0,0.13555325464625204,0.0,0.0,0.0,0.14509800758951616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15236527712054176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15922378130864098,0.0,0.0,0.16739598714957568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1697086610597749
244,Right,Mixed Factuality,Tucker Carlson,https://dailycaller.com/2024/02/06/state-department-create-army-lgbtqi-allies/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.11667495742191106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14478007347534944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15497451724607336,0.0,0.0,0.0,0.0,0.16273645420149968,0.0,0.0,0.0,0.0,0.17209260683052377,0.0,0.3854836236044666,0.0,0.17209260683052377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18387168062295878,0.15792299736529583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,Right,Mixed Factuality,Star News Network,https://theohiostar.com/news/biden-state-department-funds-program-to-create-army-of-25000-lgbtqi-allies/ohstarstaff/2024/02/07/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.2307587384335821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09544826597387969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021690940348593,0.0,0.0,0.0,0.0,0.10728625833247349,0.0,0.0,0.0,0.0,0.22690886272681512,0.0,0.3812031160555941,0.0,0.22690886272681512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121994868411619,0.10411292033555639,0.0,0.11211559521292708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Right,Low Factuality,The Heritage Foundation,https://www.dailysignal.com/2024/02/06/biden-state-department-funds-program-to-create-army-of-2500-lgbtqi-allies/?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.21533157595838537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17813432049565736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09533867355189633,0.0,0.0,0.0,0.0,0.10011373455336908,0.0,0.0,0.0,0.0,0.2117390801386847,0.0,0.47429084475963423,0.0,0.2117390801386847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22623180179378782,0.09715254713934854,0.0,0.10462021057400019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,Right,Mixed Factuality,Star News Network,https://floridacapitalstar.com/news/biden-state-department-funds-program-to-create-army-of-25000-lgbtqi-allies/gastarnewsstaff/2024/02/07/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.2307587384335821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09544826597387969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021690940348593,0.0,0.0,0.0,0.0,0.10728625833247349,0.0,0.0,0.0,0.0,0.22690886272681512,0.0,0.3812031160555941,0.0,0.22690886272681512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121994868411619,0.10411292033555639,0.0,0.11211559521292708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,Right,Mixed Factuality,Star News Network,https://themichiganstar.com/news/biden-state-department-funds-program-to-create-army-of-25000-lgbtqi-allies/mistarstaff/2024/02/07/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.2307587384335821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09544826597387969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1021690940348593,0.0,0.0,0.0,0.0,0.10728625833247349,0.0,0.0,0.0,0.0,0.22690886272681512,0.0,0.3812031160555941,0.0,0.22690886272681512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121994868411619,0.10411292033555639,0.0,0.11211559521292708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
