,bias,factuality,owner,source,owner_type,transgender,state,gender,sex,school,lgbtq,board,people,marriage,new,greece,trans,woman,member,policy,say,wednesday,said,year,alberta,public,minister,orthodox,child,youth,government,right,prime,university,department,utah,student,record,surgery,education,girl,change,country,according,day,court,church,mother,legal,official,parliament,social,christian,house,couple,alabama,post,proposed,senate,sunak,gov,law,group,legalize,ghey,conservative,game,survey,health,vote
10,Center,High Factuality,Howard Buffett,https://www.local10.com/news/national/2024/02/15/utah-legislature-votes-to-reprimand-school-board-member-who-questioned-a-students-gender/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.25298119284249704,0.08381731851290114,0.0,0.09611473434655135,0.0,0.3311086477963977,0.0,0.0,0.0,0.0,0.0,0.0,0.22073909853093182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23738597612499376,0.0,0.0,0.0,0.2232152920762499,0.11160764603812495,0.0,0.0,0.0,0.11289844336140076,0.0,0.0,0.0,0.0,0.11713730556862055,0.0,0.11289844336140076,0.0,0.0,0.0,0.0,0.11289844336140076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11713730556862055,0.0,0.0,0.0,0.0
11,Center,High Factuality,Graham Holdings,https://www.news4jax.com/news/national/2024/02/15/utah-legislature-votes-to-reprimand-school-board-member-who-questioned-a-students-gender/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.25298119284249704,0.08381731851290114,0.0,0.09611473434655135,0.0,0.3311086477963977,0.0,0.0,0.0,0.0,0.0,0.0,0.22073909853093182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23738597612499376,0.0,0.0,0.0,0.2232152920762499,0.11160764603812495,0.0,0.0,0.0,0.11289844336140076,0.0,0.0,0.0,0.0,0.11713730556862055,0.0,0.11289844336140076,0.0,0.0,0.0,0.0,0.11289844336140076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11713730556862055,0.0,0.0,0.0,0.0
12,Lean Left,High Factuality,Independent Media,https://apnews.com/article/same-sex-marriage-orthodox-church-greece-lgbtq-16b1f311b703d228301a5e5713069cd3?utm_source=ground.news&utm_medium=referral,Independent,0.0,0.0,0.0,0.1701274269642364,0.0,0.0,0.0,0.0,0.18187182422983772,0.0,0.2038097421853543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44906350724505956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2282646517780783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22453175362252978,0.0,0.0,0.0,0.0,0.0,0.0
13,Lean Left,High Factuality,The Walt Disney Company,https://abcnews.go.com/International/wireStory/greece-legalized-same-sex-marriage-orthodox-countries-join-107284602?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.26915438781011625,0.0,0.0,0.0,0.0,0.28773490779227195,0.0,0.32244234434444463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3552261253143388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3611318510150242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3552261253143388,0.0,0.0,0.0,0.0,0.0,0.0
14,Center,High Factuality,,https://www.winnipegfreepress.com/arts-and-life/life/faith/2024/02/15/greece-just-legalized-same-sex-marriage-will-other-orthodox-countries-join-them-any-time-soon?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Center,High Factuality,Hubbard Broadcasting,https://wtop.com/europe/2024/02/greece-just-legalized-same-sex-marriage-will-other-orthodox-countries-join-them-any-time-soon/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.18397806452149235,0.0,0.0,0.0,0.0,0.09833930604214844,0.0,0.11020128431663233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09923953824283756,0.0,0.3642174415278739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11298960631911266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12342421672441875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11449020385878929,0.0,0.12140581384262464,0.0,0.0,0.0,0.0,0.0,0.0
16,Lean Left,High Factuality,,https://www.thereminder.ca/religion-news/greece-just-legalized-same-sex-marriage-will-other-orthodox-countries-join-them-any-time-soon-8316506?utm_source=ground.news&utm_medium=referral,,0.0,0.0,0.0,0.19904897251179737,0.0,0.0,0.0,0.0,0.2127899092331864,0.0,0.23845725814931173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2627019972754408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2670694855494468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477377669998914,0.0,0.2627019972754408,0.0,0.0,0.0,0.0,0.0,0.0
17,Lean Left,High Factuality,Glacier Media,https://www.rmoutlook.com/lifestyle/greece-just-legalized-same-sex-marriage-will-other-orthodox-countries-join-them-any-time-soon-8316742?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.0,0.19904897251179737,0.0,0.0,0.0,0.0,0.2127899092331864,0.0,0.23845725814931173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2627019972754408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2670694855494468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2477377669998914,0.0,0.2627019972754408,0.0,0.0,0.0,0.0,0.0,0.0
18,Right,Mixed Factuality,Tucker Carlson,https://dailycaller.com/2024/02/15/exclusive-prominent-trans-surgeon-admits-in-unearthed-video-that-complications-of-genital-surgery-can-be-pretty-bad/?utm_source=ground.news&utm_medium=referral,Individual,0.0,0.0,0.0945167486569861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11601562400789818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1320900914657843,0.13042143220997157,0.0,0.0,0.0,0.0,0.11822288857619703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Right,Mixed Factuality,Star News Network,https://theohiostar.com/news/prominent-trans-surgeon-admits-in-unearthed-video-that-complications-of-genital-surgery-can-be-pretty-bad/ohstarstaff/2024/02/16/?utm_source=ground.news&utm_medium=referral,Media Conglomerate,0.0,0.0,0.09096355788517875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1116542208654101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12712439701784348,0.12551846806912756,0.0,0.0,0.0,0.0,0.113778507208088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
